,titles,authors,stars,reviews,cover,prices,publishers,genres,year
42,Where the Heart Is,Billie Letts,4.5,1092.0,Paperback,8.6,W. W. Norton & Company; First Edition edition (October 1999), Computers & Technology ,1999
43,Hearts In Atlantis,Stephen King,4.4,683.0,Hardcover,19.96,Henry Holt and Co.; 1st edition (October 1999)," Mystery, Thriller & Suspense ",1999
44,And the Crowd Goes Wild: Relive the Most Celebrated Sporting Events Ever Broadcast (Book and 2 Audio CDs),Garner,4.1,18.0,Hardcover,14.95,Tyndale House Publishers; 1 edition (April 1996), Literature & Fiction ,1999
45,The New New Thing : A Silicon Valley Story,Michael Lewis,4.1,329.0,Hardcover,15.19,"Lifeway Christian Resources; Workbook ed. edition (October 31, 1990)", Christian Books & Bibles ,1999
46,O Is for Outlaw,Sue Grafton,4.4,366.0,Hardcover,12.35,"Lifeway Christian Resources; Workbook ed. edition (October 31, 1990)", Christian Books & Bibles ,1999
47,Left Behind: A Novel of the Earth's Last Days (Left Behind No. 1),Tim LaHaye,4.7,3691.0,Paperback,9.9,"Harper Perennial; Reissue edition (March 1, 1998)"," Mystery, Thriller & Suspense ",1999
48,Experiencing God: Knowing and Doing the Will of God (Workbook),Henry T. Blackaby,4.5,220.0,Paperback,4.22,,,1999
49,Vinegar Hill (Oprah's Book Club),A. Manette Ansay,3.2,262.0,Paperback,5.0,,,1999
0,Jewel (Oprah's Book Club),Bret Lott,4.1,266.0,Paperback,9.24,"Washington Square Press (January 19, 1999)", Literature & Fiction ,1999
1,Mother of Pearl,Melinda Haynes,3.6,186.0,Hardcover,9.5,"Hyperion; First Edition edition (June 2, 1999)", Literature & Fiction ,1999
2,Healing Back Pain: The Mind-Body Connection,John E. Sarno,4.4,1636.0,Paperback,9.98,"Warner Books; 1 edition (February 1, 1991)"," Health, Fitness & Dieting ",1999
3,Cryptonomicon,Neal Stephenson,4.3,1577.0,Hardcover,42.0,"Avon Books; 1st edition (May 1, 1999)"," Mystery, Thriller & Suspense ",1999
4,"Women's Bodies, Women's Wisdom: Creating Physical and Emotional Health and Healing",Christiane Northrup M.D.,4.4,457.0,Paperback,17.95,"Bantam; 2nd Revised edition (March 2, 1998)"," Health, Fitness & Dieting ",1999
5,Dr. Atkins' New Carbohydrate Gram Counter,Robert C. Atkins M.D.,4.1,422.0,Paperback,4.95,"M. Evans & Company; Revised edition (December 10, 1996)"," Health, Fitness & Dieting ",1999
6,The Motley Fool Investment Guide: How the Fools Beat Wall Street's Wise Men and How You Can Too,Tom Gardner,3.9,101.0,Paperback,7.5,"Fireside; Reprint edition (June 2, 1997)", Business & Money ,1999
7,The Greatest Generation Speaks: Letters and Reflections,Tom Brokaw,4.5,879.0,Hardcover,8.0,"Random House; Abridged edition edition (November 30, 1999)", Literature & Fiction ,1999
8,The Art of Happiness: A Handbook for Living,Dalai Lama,4.6,785.0,Hardcover,5.0,"Riverhead Books; 1st edition (October 26, 1998)", Politics & Social Sciences ,1999
9,Apollyon: The Destroyer Is Unleashed (Left Behind #5),Jerry B. Jenkins,4.6,530.0,Hardcover,10.44,"Tyndale House Publishers, Inc.; 1 edition (February 1, 1999)", Literature & Fiction ,1999
10,Divine Secrets of the Ya-Ya Sisterhood: A Novel,Rebecca Wells,4.5,1362.0,Paperback,1.99,"Perennial (May 7, 1997)", Literature & Fiction ,1999
11,Personal Injuries (Scott Turow),Scott Turow,3.8,238.0,Hardcover,9.49,"Farrar, Straus and Giroux; 1st trade ed edition (October 7, 1999)"," Mystery, Thriller & Suspense ",1999
12,When Pride Still Mattered: A Life of Vince Lombardi,David Maraniss,4.7,318.0,Hardcover,18.01,"Simon & Schuster (October 7, 1999)", Biographies & Memoirs ,1999
13,The Girl Who Loved Tom Gordon : A Novel,Stephen King,4.3,8175.0,Hardcover,16.95,"Scribner (April 6, 1999)"," Mystery, Thriller & Suspense ",1999
14,"Eat Right 4 Your Type: The Individualized Diet Solution to Staying Healthy, Living Longer & Achieving Your Ideal Weight",Peter J. D'Adamo,4.4,2484.0,Hardcover,6.99,"Berkley; 1st edition (January 1, 1996)"," Health, Fitness & Dieting ",1999
15,Gung Ho! Turn On the People in Any Organization,Ken Blanchard,4.3,220.0,Hardcover,7.99,"William Morrow; 1 edition (October 8, 1997)", Business & Money ,1999
16,Real Boys: Rescuing Our Sons from the Myths of Boyhood,William Pollack,4.0,112.0,Paperback,13.93,Owl Books; 1 edition (April 1999), Parenting & Relationships ,1999
17,How To Draw Pokemon,Zalme,4.3,18.0,Paperback,2.99,"Troll Communications (August 10, 1999)", Children's Books ,1999
18,"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",Brian Greene,4.5,927.0,Hardcover,6.95,"W W Norton & Co Inc; 1st edition (February 1, 1999)", Science & Math ,1999
19,How to Get Started in Electronic Day Trading: Everything You Need to Know to Play Wall Street's Hottest Game,David S. Nassar,3.5,83.0,Hardcover,2.95,"McGraw-Hill; 1 edition (November 30, 1998)", Business & Money ,1999
20,Pop Goes the Weasel (Alex Cross),James Patterson,4.4,760.0,Hardcover,3.0,"Little, Brown and Company; 1st edition (October 19, 1999)"," Mystery, Thriller & Suspense ",1999
21,"A New Song (The Mitford Years, Book 5)",Jan Karon,4.8,1331.0,Hardcover,13.54,"Viking; 1st edition (April 1, 1999)", Christian Books & Bibles ,1999
22,Dave Pelz's Short Game Bible: Master the Finesse Swing and Lower Your Score (Dave Pelz Scoring Game),Dave Pelz,4.6,323.0,Hardcover,19.2,"Broadway Books; 1 edition (May 11, 1999)", Sports & Outdoors ,1999
23,A Map of the World: A Novel (Oprah's Book Club),Jane Hamilton,3.5,333.0,Paperback,6.68,"Anchor (December 3, 1999)", Literature & Fiction ,1999
24,Raving Fans: A Revolutionary Approach To Customer Service,Ken Blanchard,4.4,371.0,Hardcover,12.38,"William Morrow; 1 edition (May 19, 1993)", Business & Money ,1999
25,The Roaring 2000s: Building the Wealth and Life Style You Desire in the Greatest Boom in History,Harry S. Dent,3.0,66.0,Hardcover,2.94,"Simon & Schuster (April 14, 1998)", Business & Money ,1999
26,The Endurance: Shackleton's Legendary Antarctic Expedition,Caroline Alexander,4.8,239.0,Hardcover,20.24,"Knopf; 1 edition (November 3, 1998)", Travel ,1999
27,The Goal: A Process of Ongoing Improvement,Eliyahu M. Goldratt,4.6,1418.0,Paperback,11.73,"North River Pr; Revised edition (May 1, 1992)", Business & Money ,1999
28,The Poisonwood Bible (Oprah's Book Club),Barbara Kingsolver,4.5,2632.0,Paperback,10.1,"Harper Perennial; Reprint edition (October 1, 1999)", Literature & Fiction ,1999
29,Built to Last: Successful Habits of Visionary Companies,James C. Collins,4.5,369.0,Paperback,2.99,"Harperbusiness; 1st edition (January 15, 1997)", Business & Money ,1999
30,The Carbohydrate Addict's Program for Success,Dr. Rachael F. Heller,4.0,12.0,Paperback,17.27,"Plume (March 1, 1993)"," Health, Fitness & Dieting ",1999
31,CCNA: Cisco Certified Network Associate Study Guide,Todd Lammle,4.4,543.0,Hardcover,0.99,Sybex Inc; Bk&CD Rom edition (November 1998), Computers & Technology ,1999
32,RealAge: Are You as Young as You Can Be?,Michael F. Roizen M.D.,3.8,34.0,Hardcover,3.33,"William Morrow; 1st edition (March 3, 1999)"," Health, Fitness & Dieting ",1999
33,A Walk to Remember,Nicholas Sparks,4.5,1958.0,Hardcover,18.95,"Grand Central Publishing; First Edition edition (October 1, 1999)", Teens ,1999
34,"Galileo's Daughter: A Historical Memoir of Science, Faith, and Love",Dava Sobel,4.1,426.0,Hardcover,12.98,Walker Books; 1st edition (October 1999), Biographies & Memoirs ,1999
35,"Guns, Germs, and Steel: The Fates of Human Societies",Jared M. Diamond,4.3,2445.0,Paperback,18.95,"W. W. Norton & Company; 1st edition (April 1, 1999)", Science & Math ,1999
36,Shadow: Five Presidents and the Legacy of Watergate,Bob Woodward,3.6,91.0,Hardcover,12.0,"Simon & Schuster; First Edition edition (June 18, 1999)", Politics & Social Sciences ,1999
37,Faith of My Fathers,John McCain,4.5,381.0,Hardcover,7.24,"Random House; Abridged edition edition (August 31, 1999)", Biographies & Memoirs ,1999
38,Summer Sisters: A Novel,Judy Blume,4.2,1188.0,Mass Market Paperback,7.18,"Dell (May 4, 1999)", Literature & Fiction ,1999
39,Dr. Atkins' Quick and Easy New Diet Cookbook,Robert C. Atkins,3.9,108.0,Paperback,1.94,"Fireside; First Edition Second Printing edition (January 3, 1997)"," Health, Fitness & Dieting ",1999
40,Getting to Yes: Negotiating Agreement Without Giving In,Roger Fisher,4.4,1037.0,Paperback,0.25,"Penguin Books; Revised edition (December 1, 1991)", Business & Money ,1999
41,Midwives (Oprah's Book Club),Chris Bohjalian,4.2,687.0,Paperback,11.66,"Vintage; 1st Vintage Contemporaries Ed edition (November 8, 1998)", Literature & Fiction ,1999
42,"River, Cross My Heart: A Novel (Oprah's Book Club)",Breena Clarke,3.7,109.0,Paperback,8.64,"Back Bay Books; 1st Back Bay Pbk. Ed edition (October 1, 1999)", Literature & Fiction ,1999
43,Blind Man's Bluff: The Untold Story Of American Submarine Espionage,Sherry Sontag,4.7,766.0,Hardcover,14.49,"PublicAffairs (October 19, 1998)", History ,1999
44,The Best American Short Stories of the Century,John Updike,4.2,98.0,Hardcover,12.75,"Houghton Mifflin Harcourt; Abridged edition edition (April 5, 1999)", Literature & Fiction ,1999
45,Organizing From the Inside Out,Julie Morgenstern,4.4,340.0,Paperback,2.49,"Holt Paperbacks; 1 edition (September 15, 1998)", Business & Money ,1999
46,The Low-Carb Cookbook: The Complete Guide to the Healthy Low-Carbohydrate Lifestyle with over 250 Delicious Recipes,Fran McCullough,4.1,94.0,Hardcover,23.42,"Hyperion; 1st edition (May 30, 1997)", Science & Math ,1999
47,HTML 4 for the World Wide Web: VQS (3rd Edition),Elizabeth Castro,4.5,304.0,Paperback,2.0,"Pearson Education; 3 edition (May 7, 1998)", Textbooks ,1999
0,Harry Potter And The Goblet Of Fire (Book 4),J.K. Rowling,4.3,34067.0,Hardcover,12.69,"G. P. Putnam's Sons; 1 edition (September 8, 1998)", Self-Help ,2000
1,Who Moved My Cheese?: An Amazing Way to Deal with Change in Your Work and in Your Life,Spencer Johnson,4.6,3517.0,Hardcover,8.7,"William Morrow; 1st edition (June 10, 1999)"," Health, Fitness & Dieting ",2000
2,Harry Potter And The Prisoner Of Azkaban,J.K. Rowling,4.3,34067.0,Hardcover,12.77,"Doubleday; 1st edition (February 1, 2000)"," Mystery, Thriller & Suspense ",2000
3,Harry Potter and the Chamber of Secrets,J.K. Rowling,4.7,21590.0,Hardcover,14.69,"Chronicle Books; 1 edition (October 5, 2000)", Arts & Photography ,2000
4,Harry Potter And The Sorcerer's Stone,J.K. Rowling,4.3,34067.0,Hardcover,14.52,"Harper Perennial; Reprint edition (October 1, 1999)", Literature & Fiction ,2000
5,Body for Life: 12 Weeks to Mental and Physical Strength,Bill Phillips,4.4,1054.0,Hardcover,25.49,"Business Plus; 1 edition (April 1, 2000)", Business & Money ,2000
6,The Brethren,John Grisham,3.9,1306.0,Hardcover,4.99,"Doubleday; 1st edition (August 18, 1997)", Biographies & Memoirs ,2000
7,The Beatles Anthology,The Beatles,4.8,317.0,Hardcover,34.8,"Knopf; 1 edition (March 7, 2000)"," Health, Fitness & Dieting ",2000
8,The Poisonwood Bible (Oprah's Book Club),Barbara Kingsolver,4.5,2632.0,Paperback,10.1,"Putnam; 1st edition (August 1, 2000)"," Mystery, Thriller & Suspense ",2000
9,"Rich Dad, Poor Dad: What the Rich Teach Their Kids About Money--That the Poor and Middle Class Do Not!",Robert T. Kiyosaki,4.6,6908.0,Paperback,8.91,"Fireside / Simon & Schuster (January 15, 1990)", Religion & Spirituality ,2000
10,Harry Potter and the Sorcerer's Stone,J.K. Rowling,4.3,34067.0,Paperback,8.87,"Crown Archetype; 1 edition (September 12, 2000)", Politics & Social Sciences ,2000
11,"Tuesdays with Morrie: An Old Man, A Young Man and Life's Greatest Lesson",Mitch Albom,4.8,3944.0,Hardcover,11.2,"Amber-Allen Publishing (November 7, 1997)", Politics & Social Sciences ,2000
12,"Eating Well for Optimum Health: The Essential Guide to Food, Diet, and Nutrition",Andrew Weil M.D.,4.3,147.0,Hardcover,4.15,"Gallup Press; 1 edition (May 5, 1999)", Business & Money ,2000
13,The Bear and the Dragon,Tom Clancy,4.0,1264.0,Hardcover,6.75,"Pocket; 1st Thus. edition (September 1, 2000)"," Crafts, Hobbies & Home ",2000
14,The Seat of the Soul,Gary Zukav,4.5,1097.0,Paperback,20.98,"Chronicle Books; 1 edition (October 1, 1999)", Sports & Outdoors ,2000
15,"The O'Reilly Factor: The Good, the Bad, and the Completely Ridiculous in American Life",Bill O'Reilly,3.8,344.0,Hardcover,9.96,"Bantam; Reprint edition (May 2, 2000)", Arts & Photography ,2000
16,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.6,7119.0,Paperback,7.49,Alive Communications and Tyndale House Publishers; First Edition edition (2000), Christian Books & Bibles ,2000
17,"First, Break All the Rules: What the World's Greatest Managers Do Differently",Marcus Buckingham,4.5,587.0,Hardcover,17.92,"Free Press; 1st edition (September 15, 1990)", Business & Money ,2000
18,Talking Dirty With The Queen Of Clean,Linda Cobb,4.4,105.0,Paperback,5.49,"Putnam Adult; 1 edition (May 22, 2000)", Sports & Outdoors ,2000
19,The Worst-Case Scenario Survival Handbook,Joshua Piven,4.1,330.0,Paperback,8.95,Harper; 1st edition (May 2000), History ,2000
20,Flags of Our Fathers,James Bradley,4.6,1000.0,Hardcover,11.68,"Hyperion (February 8, 2000)", Parenting & Relationships ,2000
21,The Indwelling: The Beast Takes Possession (Left Behind #7),Jerry B. Jenkins,4.5,542.0,Hardcover,8.78,"A Shannon Ravenel Book; Oprah's Book Club edition (January 10, 1999)", Literature & Fiction ,2000
22,The 7 Habits of Highly Effective People,Stephen R. Covey,4.5,5180.0,Paperback,11.95,"Little, Brown; 1st edition (February 29, 2000)", Business & Money ,2000
23,It's Not about the Bike: My Journey Back to Life,Lance Armstrong,4.0,807.0,Hardcover,11.71,"Doubleday (September 27, 2000)", Literature & Fiction ,2000
24,From Dawn to Decadence: 1500 to the Present: 500 Years of Western Cultural Life,Jacques Barzun,4.3,223.0,Hardcover,8.4,"Ballantine Books; Later Printing edition (May 12, 2000)", Literature & Fiction ,2000
25,Relationship Rescue: A Seven-Step Strategy for Reconnecting with You Partner,Phillip C. McGraw,4.4,251.0,Hardcover,12.99,"Harmony; 1 edition (January 4, 2000)"," Health, Fitness & Dieting ",2000
26,Gap Creek : The Story of a Marriage,Robert Morgan,4.0,515.0,Hardcover,2.7,"Harper Business; 1st Edition, 1st Printing edition (June 20, 2000)", Business & Money ,2000
27,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,4.3,2373.0,Hardcover,14.12,"Harper Collins Publishers; 1st edition (October 6, 1999)"," Mystery, Thriller & Suspense ",2000
28,Drowning Ruth: A Novel (Oprah's Book Club),Christina Schwarz,3.8,760.0,Hardcover,10.69,"Farrar, Straus and Giroux; Bilingual edition (February 15, 2000)", Literature & Fiction ,2000
29,While I Was Gone (Oprah's Book Club),Sue Miller,3.5,347.0,Paperback,10.21,G. P. Putnam's Sons; 1 edition (October 2000), Literature & Fiction ,2000
30,"The Pilates Body: The Ultimate At-Home Guide to Strengthening, Lengthening and Toning Your Body- Without Machines",Brooke Siler,4.5,289.0,Paperback,11.53,"Simon & Schuster (February 17, 2000)", Biographies & Memoirs ,2000
31,It's Your Money: The E*TRADE Step-by-Step Guide to Online Investing,Christos M Cotsakos,3.9,35.0,Paperback,7.99,"Random House; 1 edition (November 30, 1998)", History ,2000
32,Daughter of Fortune: A Novel,Isabel Allende,4.2,514.0,Hardcover,12.75,"Viking Adult (March 28, 2000)", Literature & Fiction ,2000
33,Beowulf: A New Verse Translation,Seamus Heaney,4.3,544.0,Hardcover,15.05,"Broadway Books; Reprint edition (December 28, 1999)"," Health, Fitness & Dieting ",2000
34,The Last Precinct (A Scarpetta Novel),Patricia Cornwell,4.0,443.0,Hardcover,4.25,,,2000
35,A Heartbreaking Work Of Staggering Genius : A Memoir Based on a True Story,Dave Eggers,3.2,1104.0,Hardcover,12.29,,,2000
36,The Greatest Generation,Tom Brokaw,4.5,879.0,Hardcover,9.0,,,2000
37,Back Roads (Oprah's Book Club),Tawni O'Dell,4.0,392.0,Hardcover,7.47,, ,2000
38,Take Time for Your Life: A Personal Coach's 7-Step Program for Creating the Life You Want,Cheryl Richardson,4.5,83.0,Paperback,9.04,,,2000
39,The Mark: The Beast Rules the World (Left Behind #8),Tim LaHaye,4.6,425.0,Hardcover,9.99,"Tyndale House Publishers; 1st edition (November 14, 2000)", Literature & Fiction ,2000
40,"Nothing Like It in the World: The Men Who Built the Transcontinental Railroad, 1863-1869",Stephen E. Ambrose,4.3,447.0,Hardcover,21.44,"Simon & Schuster (August 29, 2000)", Engineering & Transportation ,2000
41,The Red Tent,Anita Diamant,4.4,3045.0,Paperback,8.97,"St. Martins Press (September 15, 1998)", Christian Books & Bibles ,2000
42,Prodigal Summer,Barbara Kingsolver,4.3,806.0,Hardcover,14.89,"HarperCollins; 1st edition (October 17, 2000)", Literature & Fiction ,2000
43,"The Elements of Style, Fourth Edition",William Strunk Jr.,4.5,2951.0,Paperback,8.95,"Pearson; 4th edition (August 2, 1999)", Reference ,2000
44,The New New Thing : A Silicon Valley Story,Michael Lewis,4.1,329.0,Hardcover,15.19,W. W. Norton & Company; First Edition edition (October 1999), Computers & Technology ,2000
45,Harry Potter And The Chamber Of Secrets,J. K. Rowling,4.7,21590.0,Paperback,8.76,"Scholastic Paperbacks; Reprint edition (September 1, 2000)", Children's Books ,2000
46,The Cider House Rules,John Irving,4.4,732.0,Mass Market Paperback,0.25,"Ballantine Books; Reprint edition (December 9, 1993)", Literature & Fiction ,2000
47,"HTML 4 for the World Wide Web, Fourth Edition",Elizabeth Castro,4.5,304.0,Paperback,11.25,"Peachpit Press; 4 edition (October 30, 1999)",Textbooks ,2000
48,Organizing From the Inside Out,Julie Morgenstern,4.4,340.0,Paperback,2.49,"Holt Paperbacks; 1 edition (September 15, 1998)",Business & Money ,2000
49,Home Comforts: The Art and Science of Keeping House,Cheryl Mendelson,4.5,371.0,Hardcover,27.01,"Scribner; 1st edition (November 4, 1999)"," Crafts, Hobbies & Home ",2000
0,The Carbohydrate Addict's Diet: The Lifelong Solution to Yo-Yo Dieting (Signet),Dr. Rachael F. Heller,4.2,318.0,Mass Market Paperback,7.19,Berkley; 1st Signet Printing edition (March 1993)," Health, Fitness & Dieting ",2000
1,Blown to Bits: How the New Economics of Information Transforms Strategy,Philip Evans,3.8,55.0,Hardcover,17.99,"Harvard Business Review Press; 1 edition (September 19, 1999)", Business & Money ,2000
